loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
0.1384415;0.9375;0.21145068;0.9409;0.23226099;0.9359;17;16;22;19
0.2896389;0.9375;0.19043255;0.9439;0.212992;0.9401;17;16;22;19
0.16872485;0.95;0.17724136;0.9484;0.20055848;0.9435;17;16;22;19
0.1171394;0.95;0.2159425;0.9375;0.23645166;0.9334;17;16;22;19
0.1595218;0.925;0.23345026;0.9316;0.2481795;0.927;17;16;22;19
0.32190794;0.9;0.2473697;0.9277;0.26937744;0.9251;17;16;22;19
0.42789784;0.8875;0.30477414;0.9119;0.3359653;0.9033;17;16;22;19
0.22907868;0.9125;0.28332803;0.9166;0.30616832;0.913;17;16;22;19
0.276777;0.9375;0.21810405;0.9376;0.24692996;0.9304;17;16;22;19
0.15942585;0.95;0.20666611;0.94;0.21197437;0.9387;17;16;22;19
0.12837127;0.95;0.19706145;0.9438;0.21800645;0.9376;17;16;22;19
0.21101885;0.95;0.20187233;0.9446;0.22333322;0.9356;17;16;22;19
0.22728214;0.9375;0.19112045;0.9435;0.20996875;0.9396;17;16;22;19
0.18688974;0.925;0.22242847;0.9378;0.23610218;0.9309;17;16;22;19
0.108421385;0.95;0.18889663;0.9486;0.20578164;0.943;17;16;22;19
0.17371374;0.95;0.20898995;0.939;0.24134411;0.9336;17;16;22;19
0.21703637;0.925;0.18733767;0.9443;0.20447578;0.9421;17;16;22;19
0.5603175;0.9;0.18506345;0.9484;0.20561638;0.943;17;16;22;19
0.11972022;0.975;0.17838095;0.948;0.2001855;0.945;17;16;22;19
0.1789352;0.9375;0.18154766;0.9466;0.20475195;0.9445;17;16;22;19
0.25090417;0.9;0.16740374;0.9525;0.18844797;0.9445;17;16;22;19
0.20661947;0.95;0.18999237;0.9461;0.21461023;0.9393;17;16;22;19
0.2046411;0.9125;0.17897719;0.9483;0.19885378;0.9438;17;16;22;19
0.16328487;0.95;0.21961714;0.9349;0.23128472;0.9332;17;16;22;19
0.3887755;0.8625;0.23085132;0.9341;0.24435359;0.9284;17;16;22;19
0.13649403;0.975;0.21047173;0.9385;0.22938564;0.9327;17;16;22;19
