loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
0.0004980984;1.0;0.09716275;0.9821;0.087978244;0.9826;784;784;784
0.00048265755;1.0;0.11500504;0.9825;0.10905242;0.9813;784;784;784
0.002660901;1.0;0.10922178;0.9816;0.10383395;0.9824;784;784;784
0.0018631339;1.0;0.106510915;0.9809;0.08997803;0.9817;784;784;784
0.0008923236;1.0;0.097097434;0.9821;0.10435216;0.9796;784;784;784
0.028874036;0.9875;0.12594944;0.9792;0.11692143;0.9778;784;784;784
9.579492e-05;1.0;0.09757189;0.9817;0.1061197;0.9813;784;784;784
0.0071521415;1.0;0.12275761;0.98;0.099734604;0.9813;784;784;784
0.00087066845;1.0;0.12439624;0.9801;0.10925072;0.9806;784;784;784
0.044709757;0.9875;0.1205509;0.9799;0.110353775;0.9801;784;784;784
0.0021269699;1.0;0.1402593;0.9802;0.17323983;0.9763;784;784;784
3.442222e-05;1.0;0.109936476;0.9839;0.10578115;0.9827;784;784;784
0.020158898;0.9875;0.12552886;0.9803;0.12298651;0.9794;784;784;784
0.0007245431;1.0;0.12526251;0.983;0.12604727;0.9825;784;784;784
0.00022453876;1.0;0.11082275;0.9803;0.10857447;0.9796;784;784;784
5.9406716e-06;1.0;0.12968065;0.981;0.102517456;0.9825;784;784;784
2.2543176e-05;1.0;0.11309786;0.983;0.0933125;0.9843;784;784;784
0.00020802571;1.0;0.12022763;0.9837;0.1093729;0.9829;784;784;784
4.2994834e-05;1.0;0.13067868;0.9842;0.10940848;0.985;784;784;784
4.3511142e-07;1.0;0.13171802;0.9846;0.1104957;0.9858;784;784;784
1.2673094e-05;1.0;0.13396694;0.9848;0.11185862;0.9858;784;784;784
3.4272624e-08;1.0;0.1359669;0.9849;0.113175966;0.9859;784;784;784
2.607446e-06;1.0;0.1377628;0.9849;0.114415064;0.986;784;784;784
2.9802305e-08;1.0;0.13945532;0.9849;0.11563148;0.9862;784;784;784
4.8484353e-06;1.0;0.14104556;0.9849;0.116798215;0.9862;784;784;784
7.28655e-07;1.0;0.14260857;0.9849;0.11797214;0.9862;784;784;784
5.960457e-08;1.0;0.14408985;0.9848;0.119103104;0.9861;784;784;784
3.427264e-08;1.0;0.14553542;0.9848;0.1202139;0.9861;784;784;784
0.0;1.0;0.14696148;0.9848;0.12130768;0.9861;784;784;784
1.7434256e-07;1.0;0.14836825;0.9848;0.12238474;0.986;784;784;784
1.9371495e-08;1.0;0.14976019;0.9847;0.12347117;0.9861;784;784;784
5.960371e-07;1.0;0.15110561;0.9847;0.12451153;0.9861;784;784;784
1.9371498e-08;1.0;0.15247439;0.9846;0.12560217;0.9861;784;784;784
1.664376e-06;1.0;0.15382437;0.9846;0.12667134;0.9861;784;784;784
1.041569e-06;1.0;0.15517153;0.9846;0.1277435;0.9861;784;784;784
4.127568e-07;1.0;0.15651228;0.9846;0.12882742;0.9861;784;784;784
2.9802318e-09;1.0;0.15783417;0.9847;0.12991256;0.9861;784;784;784
1.7881387e-08;1.0;0.1591581;0.9847;0.13098757;0.9861;784;784;784
1.6987208e-07;1.0;0.16046923;0.9848;0.13205844;0.9861;784;784;784
2.0265425e-07;1.0;0.16178678;0.9848;0.13312651;0.9861;784;784;784
2.6822073e-08;1.0;0.16308212;0.9848;0.13420328;0.9861;784;784;784
7.152537e-08;1.0;0.16436766;0.9848;0.1352583;0.9861;784;784;784
5.9604632e-09;1.0;0.1656429;0.9848;0.13630141;0.9861;784;784;784
4.6788787e-07;1.0;0.16690093;0.9848;0.13733168;0.9861;784;784;784
4.0233086e-08;1.0;0.16815703;0.9848;0.13836084;0.9861;784;784;784
0.0;1.0;0.1693989;0.9848;0.13937394;0.9861;784;784;784
4.470348e-09;1.0;0.17063284;0.9848;0.14038299;0.9862;784;784;784
0.0;1.0;0.17185983;0.9848;0.14139472;0.9862;784;784;784
0.0;1.0;0.1730531;0.9848;0.14238147;0.9862;784;784;784
2.6970963e-07;1.0;0.17424704;0.9848;0.14336835;0.9862;784;784;784
2.0116406e-07;1.0;0.17544056;0.9849;0.14437458;0.9862;784;784;784
5.215398e-08;1.0;0.17659214;0.9849;0.14533801;0.9862;784;784;784
3.1292398e-08;1.0;0.17773926;0.9849;0.14629252;0.9862;784;784;784
1.9371496e-08;1.0;0.1788623;0.9849;0.14723675;0.9862;784;784;784
